ID;Name;First_name;Last_name;Birthdate;Age;Age_int;Age_years;Residence_municipality;Residence_Province;Gender;Marital_status;Educational_attainment;Workforce;Professional_segment;Nr_missing_values;Contract_length
158;Rogier  Zwerver;Rogier;Zwerver;19-7-1981;37,63089632;37;37 jaar;'s-Gravenhage (gemeente);Zuid-Holland;man;;Havo, vwo;1;042 Vakspecialisten bedrijfsbeheer en...;1;0,57
159;Stefano  Damen;Stefano;Damen;13-9-1965;53,48826237;53;53 jaar;Roerdalen;Limburg;;Gehuwd;Mbo4;0;;1;5,14
160;Rick de Knegt;Rick;de Knegt;5-7-1987;31,66735489;31;31 jaar;Haarlemmermeer;Noord-Holland;man;Gehuwd;Hbo-, wo-bachelor;1;041 Specialisten bedrijfsbeheer en ad.;0;7,65
161;Leendert  Vogelaar;Leendert;Vogelaar;7-8-1965;53,59126468;53;53 jaar;Apeldoorn;Gelderland;man;;Hbo-, wo-master, doctor;1;054 Managers horeca, detailhandel en.;1;18,49
162;Kayleigh  Bakker;Kayleigh;Bakker;4-2-1996;23,07638129;23;23 jaar;Amsterdam;Noord-Holland;vrouw;Ongehuwd;Havo, vwo;1;091 Tuinders, akkerbouwers en veetelers;0;1,84
163;Thomas van Erp;Thomas;van Erp;4-7-1985;33,66970778;33;33 jaar;Utrecht (gemeente);Utrecht;man;Ongehuwd;Hbo-, wo-bachelor;0;;0;10,68
164;Femke  Damen;Femke;Damen;24-1-1961;58,12623701;58;58 jaar;Roermond;Limburg;vrouw;;;1;101 Artsen, therapeuten en gespeciali...;2;3,73
165;Adriana de Bruin;Adriana;de Bruin;3-10-1931;87,45858684;87;87 jaar;Wageningen;Gelderland;;;;;;4;1,03
166;Quincy  Boerema;Quincy;Boerema;23-2-1992;27,02733999;27;27 jaar;Amsterdam;Noord-Holland;man;Ongehuwd;Hbo-, wo-bachelor;1;043 Administratief personeel;0;8,45
167;Michiel  Ederveen;Michiel;Ederveen;19-4-1976;42,88418133;42;42 jaar;West Maas en Waal;Gelderland;man;Gehuwd;Vmbo-b/k, mbo1;0;;0;2,05
168;Roy van Loon;Roy;van Loon;8-11-1948;70,34572675;70;70 jaar;Pijnacker-Nootdorp;Zuid-Holland;man;Verweduwd;Mbo2 en mbo3;0;;0;18,95
169;Eva  Wennekes;Eva;Wennekes;1-8-1958;60,61354335;60;60 jaar;Zwijndrecht;Zuid-Holland;;;;;;4;1,02
170;Melle  Beekman;Melle;Beekman;7-2-1991;28,07100795;28;28 jaar;Oost Gelre;Gelderland;;;;;;4;9,49
171;Stephanie  Hogendorp;Stephanie;Hogendorp;15-7-1997;21,63220648;21;21 jaar;Lelystad;Flevoland;vrouw;Ongehuwd;Havo, vwo;1;033 Verkopers;0;3,05
172;Maria  Peters;Maria;Peters;12-2-1979;40,06404025;40;40 jaar;Sittard-Geleen;Limburg;;;;;;4;4,98
173;Helena  Poort;Helena;Poort;27-7-1991;27,60384237;27;27 jaar;Groningen (gemeente);Groningen;vrouw;Ongehuwd;Hbo-, wo-master, doctor;1;043 Administratief personeel;0;9,03
174;Dillan  Fermont;Dillan;Fermont;14-7-1976;42,64842888;42;42 jaar;Tiel;Gelderland;man;Gehuwd;Hbo-, wo-master, doctor;;;1;1,1
175;Sem van Dijk;Sem;van Dijk;7-1-1994;25,15330882;25;25 jaar;Ermelo;Gelderland;man;Ongehuwd;Hbo-, wo-bachelor;1;033 Verkopers;0;6,58
176;Francina  Rebergen;Francina;Rebergen;19-7-1987;31,62844681;31;31 jaar;Rotterdam;Zuid-Holland;vrouw;Gehuwd;Hbo-, wo-master, doctor;1;033 Verkopers;0;0,07
177;Merel  Wagemaker;Merel;Wagemaker;20-5-1960;58,81017617;58;58 jaar;Arnhem;Gelderland;vrouw;Ongehuwd;Basisonderwijs;1;104 Sociaal werkers, groeps- en woonb...;0;0,18
178;Liselotte  Moors;Liselotte;Moors;30-9-1947;71,45568162;71;71 jaar;Haarlem;Noord-Holland;vrouw;Gehuwd;Vmbo-b/k, mbo1;0;;0;19,55
179;Madelon den Braber;Madelon;den Braber;25-8-1977;41,53318405;41;41 jaar;Drechterland;Noord-Holland;vrouw;Gehuwd;Hbo-, wo-bachelor;1;043 Administratief personeel;0;1,59
180;Lieke  Schulten;Lieke;Schulten;17-2-1986;33,04601363;33;33 jaar;Amsterdam;Noord-Holland;vrouw;;;1;013 Leidsters kinderopvang en onderwi.;2;2,95
181;Jelmer  Bosse;Jelmer;Bosse;25-8-1966;52,54022139;52;52 jaar;Twenterand;Overijssel;man;Gescheiden;Mbo4;1;101 Artsen, therapeuten en gespeciali...;0;0,84
182;Daan van der Hijden;Daan;van der Hijden;17-10-1942;76,41268767;76;76 jaar;Best;Noord-Brabant;;;Vmbo-b/k, mbo1;0;;2;0,66
183;Mila  Kragt;Mila;Kragt;27-2-1983;36,01957841;36;36 jaar;Goeree-Overflakkee;Zuid-Holland;vrouw;Gehuwd;Hbo-, wo-bachelor;1;112 Schoonmakers en keukenhulpen;0;9,61
184;Renee  Wieringa;Renee;Wieringa;4-10-1930;88,4566835;88;88 jaar;Epe;Gelderland;;;;;;4;0,18
185;Geertruida  Rozendal;Geertruida;Rozendal;4-4-1987;31,91871362;31;31 jaar;Schiedam;Zuid-Holland;vrouw;;Mbo4;1;101 Artsen, therapeuten en gespeciali...;1;5
186;Jur de Vrij;Jur;de Vrij;2-10-1982;36,42680477;36;36 jaar;Boxmeer;Noord-Brabant;;;;;;4;2,1
187;Marise  Vissers;Marise;Vissers;7-5-1938;80,86067316;80;80 jaar;Oosterhout;Noord-Brabant;;;Basisonderwijs;;;3;7,72
188;Roos  Pronk;Roos;Pronk;8-2-1956;63,09085813;63;63 jaar;Hengelo (O.);Overijssel;;;;;;4;9,78
189;Sabrina van Uden;Sabrina;van Uden;30-10-1947;71,37326884;71;71 jaar;Apeldoorn;Gelderland;;;;;;4;1,14
190;Derya  Boomsma;Derya;Boomsma;18-5-1932;86,83357968;86;86 jaar;Amsterdam;Noord-Holland;vrouw;;Basisonderwijs;0;;1;2,31
191;Açelya de Beer;Açelya;de Beer;26-2-1984;35,02392585;35;35 jaar;Coevorden;Drenthe;;;;1;052 Managers op administratief en com...;3;10,63
192;Hendrik  Schonewille;Hendrik;Schonewille;17-2-1974;45,05320667;45;45 jaar;Beverwijk;Noord-Holland;man;Gescheiden;Vmbo-b/k, mbo1;1;071 Ingenieurs en onderzoekers wis.;0;1,64
193;Daniël  Botermans;Daniël;Botermans;20-7-1957;61,64427894;61;61 jaar;Hellevoetsluis;Zuid-Holland;;;;;;4;1,35
194;Eline  Klaassen;Eline;Klaassen;11-5-1970;48,82993194;48;48 jaar;Alblasserdam;Zuid-Holland;vrouw;Ongehuwd;Havo, vwo;0;;0;1
195;Eddie  Haak;Eddie;Haak;23-1-1964;55,13002955;55;55 jaar;Gorinchem;Zuid-Holland;man;Gescheiden;Mbo2 en mbo3;1;073 Bouwarbeiders;0;2,1
196;Evita van Uden;Evita;van Uden;1-8-1996;22,586046;22;22 jaar;Best;Noord-Brabant;vrouw;Ongehuwd;Basisonderwijs;1;033 Verkopers;0;4,01
197;Olivier  Postma;Olivier;Postma;21-9-1954;64,47506791;64;64 jaar;Haarlemmermeer;Noord-Holland;man;Gehuwd;Hbo-, wo-bachelor;0;;0;2,89
198;Theresia  Peeters;Theresia;Peeters;1-1-1996;23,16779206;23;23 jaar;Eindhoven;Noord-Brabant;vrouw;Ongehuwd;Havo, vwo;1;022 Vakspecialisten op artistiek en c.;0;4,59
199;Chiel  Kok;Chiel;Kok;5-6-1996;22,73985526;22;22 jaar;Horst aan de Maas;Limburg;man;Ongehuwd;Mbo2 en mbo3;1;112 Schoonmakers en keukenhulpen;0;4,16
200;Floor  Schipper;Floor;Schipper;29-3-1995;23,93121725;23;23 jaar;Bladel;Noord-Brabant;;;;;;4;5,35
201;Pim van Rijn;Pim;van Rijn;20-7-1977;41,63035866;41;41 jaar;Amsterdam;Noord-Holland;man;Ongehuwd;;;;2;18,21
202;Guido de Leeuw;Guido;de Leeuw;10-4-1976;42,90725357;42;42 jaar;Alkmaar;Noord-Holland;man;Ongehuwd;Hbo-, wo-bachelor;1;032 Vertegenwoordigers en inkopers;0;1
203;Valencia de Bruijn;Valencia;de Bruijn;18-3-1932;87,0013097;87;87 jaar;Sittard-Geleen;Limburg;;;;;;4;1,64
204;Harm van Vugt;Harm;van Vugt;20-8-1975;43,54966674;43;43 jaar;Borsele;Zeeland;man;;Hbo-, wo-master, doctor;1;041 Specialisten bedrijfsbeheer en ad.;1;2,42
205;Morris  Willems;Morris;Willems;19-5-1985;33,79453285;33;33 jaar;Tilburg;Noord-Brabant;man;Ongehuwd;Hbo-, wo-bachelor;1;112 Schoonmakers en keukenhulpen;0;5,89
206;Christina  Talma;Christina;Talma;27-1-1929;90,14136719;90;90 jaar;Utrecht (gemeente);Utrecht;vrouw;Verweduwd;Mbo2 en mbo3;0;;0;22,98
207;Floor  Frenken;Floor;Frenken;5-12-1949;69,27286168;69;69 jaar;West Maas en Waal;Gelderland;vrouw;Ongehuwd;Vmbo-g/t, havo-, vwo-onderbouw;0;;0;19,18
208;Ruben  Veldhuis;Ruben;Veldhuis;14-9-1943;75,50410386;75;75 jaar;Veere;Zeeland;man;;;;;3;2,03
209;Sem  Speelman;Sem;Speelman;9-12-1983;35,24025249;35;35 jaar;Utrecht (gemeente);Utrecht;;;;;;4;13,39
210;Carmen  Eichelsheim;Carmen;Eichelsheim;19-7-1980;38,63149295;38;38 jaar;Ooststellingwerf;Friesland;vrouw;Ongehuwd;Hbo-, wo-bachelor;1;053 Managers productie en gespecialis...;0;20,05
211;Sabrina van Doorn;Sabrina;van Doorn;22-12-1938;80,23403319;80;80 jaar;Heumen;Gelderland;;;;;;4;34,6
212;Mehmet  Veenstra;Mehmet;Veenstra;8-5-1966;52,83842421;52;52 jaar;Koggenland;Noord-Holland;man;Gehuwd;Hbo-, wo-bachelor;0;;0;3,1
213;Birgit  Klomp;Birgit;Klomp;10-12-1954;64,25725047;64;64 jaar;Dordrecht;Zuid-Holland;;;;;;4;1
214;Jenny  Haaksman;Jenny;Haaksman;25-6-2000;18,68260431;18;18 jaar;Haarlemmermeer;Noord-Holland;vrouw;Ongehuwd;Havo, vwo;0;;0;0,1
215;Nadia  Klooster;Nadia;Klooster;30-7-1956;62,61837778;62;62 jaar;Alkmaar;Noord-Holland;;;;;;4;14,4
216;Vincent  Schuuring;Vincent;Schuuring;28-1-1968;51,1128849;51;51 jaar;Uden;Noord-Brabant;;;;;;4;2,64
217;Phyllis  Derksen;Phyllis;Derksen;11-7-1963;55,66682565;55;55 jaar;Zaanstad;Noord-Holland;vrouw;Gescheiden;Mbo4;1;053 Managers productie en gespecialis...;0;14,61
218;Alysha  Goossens;Alysha;Goossens;2-7-1976;42,67991264;42;42 jaar;Tilburg;Noord-Brabant;vrouw;Ongehuwd;Hbo-, wo-master, doctor;1;043 Administratief personeel;0;21,04
219;Lotte  Schoonen;Lotte;Schoonen;30-9-1964;54,44153617;54;54 jaar;Koggenland;Noord-Holland;vrouw;Gehuwd;Basisonderwijs;1;121 Bestuurders voertuigen en bediene...;0;9,36
220;Samir  Cornelissen;Samir;Cornelissen;28-12-1967;51,19829761;51;51 jaar;Zutphen;Gelderland;;;;;;4;0,53
221;Johannes  Couwenberg;Johannes;Couwenberg;13-2-2001;18,04553267;18;18 jaar;Tynaarlo;Drenthe;man;Ongehuwd;Vmbo-b/k, mbo1;1;078 Hulpkrachten bouw en industrie;0;0,05
222;Hotze  Bruggeman;Hotze;Bruggeman;22-5-1976;42,7944538;42;42 jaar;Amstelveen;Noord-Holland;man;Gehuwd;Vmbo-g/t, havo-, vwo-onderbouw;1;074 Metaalarbeiders, machinemonteurs;0;19,85
223;Thomas van der Vegte;Thomas;van der Vegte;17-10-1986;32,38133847;32;32 jaar;Steenwijkerland;Overijssel;man;Gehuwd;Havo, vwo;1;081 Specialisten ICT;0;1,71
224;Romee  Nieuwenhuizen;Romee;Nieuwenhuizen;26-4-1941;77,88769995;77;77 jaar;Amsterdam;Noord-Holland;vrouw;;Basisonderwijs;;;2;2,09
225;Marcela  Slof;Marcela;Slof;28-6-1957;61,70471056;61;61 jaar;Ermelo;Gelderland;vrouw;Gescheiden;Hbo-, wo-bachelor;1;101 Artsen, therapeuten en gespeciali...;0;4,05
226;Janneke  Willems;Janneke;Willems;2-11-1947;71,36460365;71;71 jaar;Opsterland;Friesland;vrouw;Gehuwd;Basisonderwijs;0;;0;10,9
227;Anel  Smink;Anel;Smink;17-12-1998;20,20746334;20;20 jaar;Veldhoven;Noord-Brabant;;;;;;4;1,53
228;Donny  Muijen;Donny;Muijen;31-1-1990;29,08902942;29;29 jaar;Hendrik-Ido-Ambacht;Zuid-Holland;man;;;;;3;8,65
229;Mart  Noya;Mart;Noya;1-5-1968;50,85638419;50;50 jaar;Hilversum;Noord-Holland;man;Gehuwd;Mbo2 en mbo3;1;043 Administratief personeel;0;1,64
230;Kimberly  Punt;Kimberly;Punt;4-6-1963;55,76948352;55;55 jaar;Haarlem;Noord-Holland;vrouw;Ongehuwd;Vmbo-b/k, mbo1;0;;0;19,99
231;Jelle van der Weide;Jelle;van der Weide;3-11-1937;81,36759633;81;81 jaar;Nijmegen;Gelderland;man;Ongehuwd;Vmbo-g/t, havo-, vwo-onderbouw;0;;0;1,55
232;Roman  Otten;Roman;Otten;24-12-1951;67,22126994;67;67 jaar;Smallingerland;Friesland;man;Gehuwd;Vmbo-b/k, mbo1;0;;0;8,61
233;Paulus  Hellings;Paulus;Hellings;7-10-1957;61,42924239;61;61 jaar;Goes;Zeeland;man;Gescheiden;Hbo-, wo-bachelor;1;104 Sociaal werkers, groeps- en woonb...;0;10,39
234;Sara van Gulik;Sara;van Gulik;9-2-1992;27,06520086;27;27 jaar;Haarlemmermeer;Noord-Holland;vrouw;Ongehuwd;Mbo4;1;105 Verzorgenden;0;0,14
235;Kaoutar  Ursem;Kaoutar;Ursem;9-4-1988;30,90358018;30;30 jaar;Amsterdam;Noord-Holland;man;Ongehuwd;Hbo-, wo-bachelor;1;042 Vakspecialisten bedrijfsbeheer en...;0;3,41
236;Sterre  Holthuis;Sterre;Holthuis;10-12-1992;26,22823266;26;26 jaar;Rotterdam;Zuid-Holland;;;;;;4;2,47
237;Stephanie  Eussen;Stephanie;Eussen;15-7-1932;86,67504163;86;86 jaar;Amstelveen;Noord-Holland;vrouw;Gehuwd;Havo, vwo;0;;0;14,15
238;Lisa van der Wal;Lisa;van der Wal;9-9-1996;22,47776446;22;22 jaar;Rotterdam;Zuid-Holland;;;;;;4;0,81
239;Max  Franse;Max;Franse;7-8-1941;77,60775324;77;77 jaar;Hilversum;Noord-Holland;man;Gehuwd;Mbo2 en mbo3;0;;0;0,14
240;Dane  Benschop;Dane;Benschop;4-7-1967;51,68335128;51;51 jaar;Twenterand;Overijssel;man;Gehuwd;Vmbo-b/k, mbo1;1;043 Administratief personeel;0;6,81
241;Roeland de Heer;Roeland;de Heer;27-3-1963;55,95632124;55;55 jaar;Zaanstad;Noord-Holland;man;Ongehuwd;;0;;1;1
242;Jasmijn  Huijbregts;Jasmijn;Huijbregts;11-8-1963;55,58207074;55;55 jaar;Son en Breugel;Noord-Brabant;;;;;;4;3,9
243;Manja  Yeung;Manja;Yeung;8-11-1953;65,34514288;65;65 jaar;Landsmeer;Noord-Holland;;;;;;4;2,09
244;Milan van Mil;Milan;van Mil;11-12-1953;65,25300832;65;65 jaar;Súdwest-Fryslân;Friesland;;;;;;4;1,83
245;Jarno  Gerdes;Jarno;Gerdes;5-1-1995;24,15676139;24;24 jaar;Breda;Noord-Brabant;man;Ongehuwd;Havo, vwo;1;122 Hulpkrachten transport en logistiek;0;0,8
246;Maurits  Borggreve;Maurits;Borggreve;16-1-1968;51,14653106;51;51 jaar;Amersfoort;Utrecht;man;Gehuwd;Mbo2 en mbo3;0;;0;0,53
247;Anne  Keijser;Anne;Keijser;22-6-1980;38,70592381;38;38 jaar;Amstelveen;Noord-Holland;;;;;;4;1,71
248;Brian van der Giessen;Brian;van der Giessen;30-12-1996;22,17043814;22;22 jaar;Tilburg;Noord-Brabant;;;;;;4;3,59
249;Richard van Boven;Richard;van Boven;22-8-1970;48,5456346;48;48 jaar;Eijsden-Margraten;Limburg;man;Ongehuwd;Vmbo-b/k, mbo1;1;102 Specialisten op maatschappelijk g...;0;3,14
250;Irina van Venrooij;Irina;van Venrooij;4-11-1978;40,33838974;40;40 jaar;Rijswijk (ZH.);Zuid-Holland;vrouw;;;;;3;21,76
251;Merel  Kalloe;Merel;Kalloe;22-6-1974;44,71232603;44;44 jaar;Bergeijk;Noord-Brabant;;;;;;4;21,5
252;Kim  Versluis;Kim;Versluis;3-12-1969;49,26400735;49;49 jaar;Alkmaar;Noord-Holland;;;;1;043 Administratief personeel;3;5,12
253;Martijn  Martens;Martijn;Martens;6-6-1990;28,74508263;28;28 jaar;Westland;Zuid-Holland;man;Ongehuwd;Mbo4;1;074 Metaalarbeiders, machinemonteurs;0;3,87
254;Rümeysa van Esch;Rümeysa;van Esch;22-9-1980;38,4547224;38;38 jaar;Gooise Meren;Noord-Holland;;;;;;4;6,14
255;Luka  Mooijman;Luka;Mooijman;8-6-1953;65,76288723;65;65 jaar;Harderwijk;Gelderland;;;;;;4;17,98
256;Siemon  Hegeman;Siemon;Hegeman;1-10-1943;75,45522791;75;75 jaar;Gennep;Limburg;;;;;;4;4,03
257;Sebastiaan  Schoenmakers;Sebastiaan;Schoenmakers;25-4-1958;60,88114263;60;60 jaar;Westervoort;Gelderland;man;Gehuwd;Mbo2 en mbo3;0;;0;22,73
258;Jacolien  Wilbrink;Jacolien;Wilbrink;30-12-1985;33,17938959;33;33 jaar;Maastricht;Limburg;vrouw;Ongehuwd;;;;2;1,08
259;Robertus  Thiele;Robertus;Thiele;16-7-1963;55,65389255;55;55 jaar;Horst aan de Maas;Limburg;man;Ongehuwd;Vmbo-b/k, mbo1;1;076 Elektriciens en elektronicamonteurs;0;3,3
260;Corinne de Vries;Corinne;de Vries;23-5-1979;39,79051476;39;39 jaar;Rotterdam;Zuid-Holland;vrouw;Ongehuwd;Mbo4;1;041 Specialisten bedrijfsbeheer en ad.;0;20,85
261;Jade  Benard;Jade;Benard;24-1-1958;61,13102882;61;61 jaar;Rijswijk (ZH.);Zuid-Holland;vrouw;Gehuwd;Basisonderwijs;1;112 Schoonmakers en keukenhulpen;0;20,91
262;Cihangir  Jager;Cihangir;Jager;26-2-1949;70,04582971;70;70 jaar;Apeldoorn;Gelderland;man;Gehuwd;Basisonderwijs;0;;0;20,57
263;Robin  Kamman;Robin;Kamman;2-11-1996;22,3292155;22;22 jaar;Maastricht;Limburg;man;;Vmbo-g/t, havo-, vwo-onderbouw;;;2;0,68
264;Janne de Jong;Janne;de Jong;23-12-1990;28,19505451;28;28 jaar;Vlissingen;Zeeland;vrouw;Ongehuwd;;;;2;9,62
265;Pleun  Vorstenbosch;Pleun;Vorstenbosch;29-5-1966;52,78306493;52;52 jaar;Leiderdorp;Zuid-Holland;vrouw;Gehuwd;Mbo4;1;112 Schoonmakers en keukenhulpen;0;7,07
266;Maarten  Bruins;Maarten;Bruins;22-5-1966;52,80045936;52;52 jaar;Barneveld;Gelderland;man;Gehuwd;Vmbo-g/t, havo-, vwo-onderbouw;1;055 Managers z.n.d.;0;2,85
267;Fabian  Noppert;Fabian;Noppert;4-1-1994;25,16157763;25;25 jaar;Huizen;Noord-Holland;man;Ongehuwd;Mbo2 en mbo3;1;041 Specialisten bedrijfsbeheer en ad.;0;1,06
268;Shanna van der Veen;Shanna;van der Veen;15-6-1979;39,72771889;39;39 jaar;Heusden;Noord-Brabant;vrouw;Ongehuwd;Hbo-, wo-bachelor;1;011 Docenten;0;3,58
269;Rebecca  Stokvis;Rebecca;Stokvis;10-2-1965;54,07847152;54;54 jaar;Haaren;Noord-Brabant;vrouw;;;;;3;3,98
270;Niels  Kusters;Niels;Kusters;5-8-1968;50,59350524;50;50 jaar;Krimpen aan den IJssel;Zuid-Holland;man;Ongehuwd;Havo, vwo;1;053 Managers productie en gespecialis...;0;7,96
271;Wilbert  Snoeck;Wilbert;Snoeck;4-6-1993;25,74627225;25;25 jaar;Hardenberg;Overijssel;;;;;;4;1,07
272;Denis  Smit;Denis;Smit;13-5-1944;74,84015266;74;74 jaar;Gouda;Zuid-Holland;;;;;;4;4
273;Dennis van der Hoeven;Dennis;van der Hoeven;3-8-1961;57,60543309;57;57 jaar;Overbetuwe;Gelderland;man;Gehuwd;Mbo2 en mbo3;1;033 Verkopers;0;1,15
274;Alex van der Meijden;Alex;van der Meijden;8-9-1945;73,51737129;73;73 jaar;Hilversum;Noord-Holland;;;;;;4;5,98
275;Sam  Borst;Sam;Borst;20-9-1929;89,49461087;89;89 jaar;Schouwen-Duiveland;Zeeland;man;Verweduwd;Basisonderwijs;;;1;3,39
276;Dennis  Bakker;Dennis;Bakker;7-9-1950;68,51706353;68;68 jaar;Groningen (gemeente);Groningen;man;Gehuwd;Hbo-, wo-master, doctor;;;1;1,56
277;Lucas  Dijkstra;Lucas;Dijkstra;20-4-1947;71,9022669;71;71 jaar;Geldermalsen;Gelderland;man;Gehuwd;Hbo-, wo-bachelor;0;;0;17,13
278;Bjorn  Khoenkhoen;Bjorn;Khoenkhoen;21-3-1954;64,98015417;64;64 jaar;'s-Hertogenbosch;Noord-Brabant;man;Gehuwd;Mbo2 en mbo3;1;091 Tuinders, akkerbouwers en veetelers;0;3,81
279;Lars van Rijthoven;Lars;van Rijthoven;5-8-1984;34,58153934;34;34 jaar;Oldambt;Groningen;man;Ongehuwd;;0;;1;0,89
280;Marwa van Dijk;Marwa;van Dijk;7-12-1962;56,2595516;56;56 jaar;Heerenveen;Friesland;vrouw;Gehuwd;Vmbo-g/t, havo-, vwo-onderbouw;1;021 Auteurs en kunstenaars;0;0,78
281;Thomas  Wagenaar;Thomas;Wagenaar;15-2-1960;59,06902656;59;59 jaar;Stichtse Vecht;Utrecht;man;Ongehuwd;Mbo2 en mbo3;;;1;3,98
282;Denise El Azzouzi;Denise;El Azzouzi;31-5-1998;20,75614336;20;20 jaar;'s-Gravenhage (gemeente);Zuid-Holland;vrouw;Ongehuwd;Vmbo-b/k, mbo1;1;122 Hulpkrachten transport en logistiek;0;1,64
283;Nienke  Hoogendoorn;Nienke;Hoogendoorn;10-7-1991;27,65117525;27;27 jaar;Roosendaal;Noord-Brabant;;;;;;4;1,99
284;Rik  Vroegindeweij;Rik;Vroegindeweij;19-1-1970;49,1347166;49;49 jaar;Helmond;Noord-Brabant;man;Gehuwd;Vmbo-b/k, mbo1;0;;0;21,99
285;Mitchell  Disseldorp;Mitchell;Disseldorp;5-2-1926;93,1185196;93;93 jaar;Venlo;Limburg;man;;;;;3;33,22
286;Vincent van 't Hart;Vincent;van 't Hart;20-12-1984;34,20819267;34;34 jaar;Zevenaar;Gelderland;man;Ongehuwd;Havo, vwo;0;;0;3,1
287;Mark van den Berg;Mark;van den Berg;7-12-1951;67,26758545;67;67 jaar;Vlaardingen;Zuid-Holland;;Gehuwd;;;;3;2,66
288;Mike van Keulen;Mike;van Keulen;2-6-1982;36,76076235;36;36 jaar;'s-Gravenhage (gemeente);Zuid-Holland;;;;;;4;2,52
289;Mitchell  Zuijderwijk;Mitchell;Zuijderwijk;22-3-1959;59,97368533;59;59 jaar;Westerveld;Drenthe;;;;;;4;1,22
290;Patrick  Cornelissen;Patrick;Cornelissen;1-7-1989;29,67514688;29;29 jaar;Midden-Drenthe;Drenthe;man;Ongehuwd;Mbo2 en mbo3;1;121 Bestuurders voertuigen en bediene...;0;1,17
291;Marciano van der Meijden;Marciano;van der Meijden;24-12-1988;30,19314436;30;30 jaar;Velsen;Noord-Holland;man;Ongehuwd;Hbo-, wo-bachelor;1;077 Productiemachinebedieners en asse...;0;2,58
292;Maikel van Os;Maikel;van Os;8-4-1981;37,90978531;37;37 jaar;Meppel;Drenthe;man;Ongehuwd;Hbo-, wo-master, doctor;1;051 Algemeen directeuren;0;5
293;Mandy  Kisters;Mandy;Kisters;9-3-1964;55,00332603;55;55 jaar;Arnhem;Gelderland;vrouw;Ongehuwd;Havo, vwo;1;043 Administratief personeel;0;14,71
294;Ruurd  Bakker;Ruurd;Bakker;6-5-1992;26,82717135;26;26 jaar;Zuidplas;Zuid-Holland;man;Ongehuwd;Hbo-, wo-master, doctor;1;072 Vakspecialisten natuur en techniek;0;1,64
295;Paula van Gerwen;Paula;van Gerwen;8-4-1993;25,90209084;25;25 jaar;Hillegom;Zuid-Holland;vrouw;Ongehuwd;Hbo-, wo-bachelor;0;;0;7,32
296;Else  Mudde;Else;Mudde;16-12-1985;33,21866927;33;33 jaar;'s-Gravenhage (gemeente);Zuid-Holland;vrouw;Ongehuwd;Hbo-, wo-master, doctor;1;103 Vakspecialisten gezondheidszorg;0;2,43
297;Wesley  Willemsen;Wesley;Willemsen;3-3-1934;85,04221254;85;85 jaar;Maastricht;Limburg;man;Verweduwd;Vmbo-g/t, havo-, vwo-onderbouw;0;;0;3,01
298;Steve  Relou;Steve;Relou;30-1-1979;40,09969188;40;40 jaar;Sint-Michielsgestel;Noord-Brabant;man;Ongehuwd;;1;081 Specialisten ICT;1;2,65
299;Ruben  Schuiling;Ruben;Schuiling;20-7-1994;24,62157061;24;24 jaar;Rijssen-Holten;Overijssel;;;;;;4;2,61
300;Ceyda  IJpma;Ceyda;IJpma;11-10-1949;69,42398255;69;69 jaar;Tilburg;Noord-Brabant;vrouw;Gehuwd;Hbo-, wo-master, doctor;0;;0;1,64
301;Floor van Dijk;Floor;van Dijk;15-2-1996;23,04402319;23;23 jaar;Den Helder;Noord-Holland;vrouw;Ongehuwd;Basisonderwijs;1;033 Verkopers;0;1,67
302;Cas  Vos;Cas;Vos;1-5-1969;49,85709484;49;49 jaar;Zwolle;Overijssel;man;Gehuwd;Basisonderwijs;0;;0;14,96
303;Paulus  Bosch;Paulus;Bosch;19-6-1985;33,71188039;33;33 jaar;Teylingen;Zuid-Holland;man;Ongehuwd;Hbo-, wo-bachelor;1;052 Managers op administratief en com...;0;12,57
304;William van Kuijk;William;van Kuijk;17-5-1933;85,83695246;85;85 jaar;Oosterhout;Noord-Brabant;man;Verweduwd;Mbo2 en mbo3;0;;0;8,4
305;Marco  Kops;Marco;Kops;28-8-1959;59,5385747;59;59 jaar;Amsterdam;Noord-Holland;;;;;;4;15,15
306;René  Kennis;René;Kennis;15-10-1977;41,39263068;41;41 jaar;'s-Gravenhage (gemeente);Zuid-Holland;;;Mbo4;;;3;1
307;Daniël van der Werff;Daniël;van der Werff;8-4-1953;65,92943242;65;65 jaar;Loppersum;Groningen;man;Gehuwd;;0;;1;20,81
308;Aleida van der Zwaard;Aleida;van der Zwaard;25-8-2000;18,5168956;18;18 jaar;Amersfoort;Utrecht;vrouw;;Basisonderwijs;0;;1;0,52
309;Davy  Schrijver;Davy;Schrijver;18-12-1968;50,22314102;50;50 jaar;Rotterdam;Zuid-Holland;man;Gehuwd;Mbo4;0;;0;2,35
310;Stefan  Hurenkamp;Stefan;Hurenkamp;8-7-1994;24,65305792;24;24 jaar;Bergen op Zoom;Noord-Brabant;;;;;;4;6,08
311;Luuk van Kempen;Luuk;van Kempen;18-6-1944;74,7402332;74;74 jaar;Middelburg (Z.);Zeeland;man;Gehuwd;Mbo4;0;;0;1
312;Tim  Smaling;Tim;Smaling;5-9-1942;76,52659907;76;76 jaar;Amsterdam;Noord-Holland;man;;;0;;2;9,53
313;Katy  Woudstra;Katy;Woudstra;19-11-1981;37,29361562;37;37 jaar;Heerlen;Limburg;vrouw;Gehuwd;Mbo4;1;043 Administratief personeel;0;18,72
